Focal,Interacting,Agg,Trial_ID,#I,Dur,Trial
25-D,25-C,0,146,0,0,1
25-D,25-B,1,163,1,34,2
25-D,25-A,0,178,0,0,3
26-A,26-B,0,147,0,0,1
26-A,26-C,1,166,2,38,2
26-A,26-D,1,183,1,27,3
26-B,26-A,0,147,0,0,1
26-B,26-D,0,171,0,0,2
26-B,26-C,0,174,0,0,3
26-C,26-D,0,150,0,0,1
26-C,26-A,0,166,0,0,2
26-C,26-B,1,174,1,25,3
26-D,26-C,1,150,1,48,1
26-D,26-B,1,171,2,3,2
26-D,26-A,0,183,0,0,3
27-A,27-B,1,149,1,18,1
27-A,27-C,1,172,1,20,2
27-A,27-D,1,177,1,16,3
27-B,27-A,0,149,0,0,1
27-B,27-D,1,169,4,62,2
27-B,27-C,0,180,0,0,3
27-C,27-D,0,145,0,0,1
27-C,27-A,0,172,0,0,2
27-C,27-B,0,180,0,0,3
27-D,27-C,0,145,0,0,1
27-D,27-B,0,169,0,0,2
27-D,27-A,0,177,0,0,3
28-A,28-B,1,158,2,6,1
28-A,28-C,0,168,0,0,2
28-A,28-D,1,173,2,38,3
28-B,28-A,0,158,0,0,1
28-B,28-D,0,164,0,0,2
28-B,28-C,0,176,0,0,3
28-C,28-D,1,155,1,28,1
28-C,28-A,0,168,0,0,2
28-C,28-B,0,176,0,0,3
28-D,28-C,1,155,1,10,1
28-D,28-B,0,164,0,0,2
28-D,28-A,0,173,0,0,3
29-A,29-B,0,154,0,0,1
29-A,29-C,1,165,3,28,2
29-A,29-D,0,184,0,0,3
29-B,29-A,0,154,0,0,1
29-B,29-D,1,160,2,43,2
29-B,29-C,1,182,1,28,3
29-C,29-D,1,152,1,27,1
29-C,29-A,1,165,1,22,2
29-C,29-B,1,182,1,27,3
29-D,29-C,0,152,0,0,1
29-D,29-B,0,160,0,0,2
29-D,29-A,1,184,2,7,3
30-A,30-B,1,151,3,37,1
30-A,30-C,0,170,0,0,2
30-A,30-D,1,175,1,7,3
30-B,30-A,0,151,0,0,1
30-B,30-D,1,159,0,0,2
30-B,30-C,1,186,1,30,3
30-C,30-D,0,157,0,0,1
30-C,30-A,0,170,0,0,2
30-C,30-B,0,186,0,0,3
30-D,30-C,0,157,0,0,1
30-D,30-B,1,159,3,29,2
30-D,30-A,1,175,1,60,3
31-A,31-B,0,153,0,0,1
31-A,31-C,0,162,0,0,2
31-A,31-D,0,181,0,0,3
31-B,31-A,1,153,1,33,1
31-B,31-D,0,167,0,0,2
31-B,31-C,0,179,0,0,3
31-C,31-D,0,156,0,0,1
31-C,31-A,1,162,2,55,2
31-C,31-B,1,179,1,14,3
31-D,31-C,0,156,0,0,1
31-D,31-B,1,162,2,24,2
31-D,31-A,0,181,0,0,3
