ID,Week,Block,Rep,Hatch,Box,Isolation,DaysIso,Maturation,Trials I,#I,TDur,AvDur,T1,1#I,1IDur,1#E,1EDur,T2,2#I,2IDur,2#E,2EDur,T3,3#I,3IDur,3#E,3EDur,#E,TDurE,AvDurE,I1,I2,I3,E1,E2,E3,I,E,IC,EC,F1 HATCH,F1 BOX,F2 HATCH,F2 BOX,F3 HATCH,F3 BOX,F#,Mated,Agg,Aggb,Unsuc Att,Ig F Att,No Att
09-B,2,9,B,15/11/2019,1,18/02/2020,7,25/02/2020,1,2,44,22,19,0,0,0,0,36,0,0,0,0,47,2,44,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,15/11/2019,2,13/12/2019,5,-,-,2,1,0,0,0,0,1
09-C,2,9,C,15/11/2019,2,11/02/2020,10,21/02/2020,1,1,17,17,26,1,17,0,0,40,0,0,1,20,47,0,0,2,44,3,64,21,1,0,0,0,1,1,100,11,1,2,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
09-D,2,9,D,13/12/2019,6,18/02/2020,7,25/02/2020,0,0,0,0,26,0,0,1,17,36,0,0,0,0,49,0,0,0,0,1,17,6,0,0,0,1,0,0,0,100,0,1,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
10-A,3,10,A,15/11/2019,1,18/02/2020,14,03/03/2020,0,0,0,0,72,0,0,1,3,87,0,0,2,11,115,0,0,2,43,5,57,19,0,0,0,1,1,1,0,111,0,3,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
10-B,3,10,B,13/12/2019,5,18/02/2020,14,03/03/2020,1,1,3,3,72,1,3,0,0,92,0,0,0,0,103,0,0,0,0,0,0,0,1,0,0,0,0,0,100,0,1,0,15/11/2019,1,13/12/2019,6,15/11/2019,1,0,0,0,0,0,1,2
10-C,3,10,C,13/12/2019,6,25/02/2020,7,03/03/2020,1,2,11,5.5,58,0,0,0,0,87,2,11,0,0,103,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,15/11/2019,1,13/12/2019,6,13/12/2019,6,0,0,3,1,0,0,0
10-D,3,10,D,13/12/2019,5,18/02/2020,14,03/03/2020,1,2,43,21.5,58,0,0,0,0,92,0,0,0,0,115,2,43,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,15/11/2019,2,-,-,-,-,1,1,0,0,0,0,0
11-A,3,11,A,06/12/2019,4,18/02/2020,14,03/03/2020,1,2,8,4,74,0,0,0,0,83,2,8,2,27,110,0,0,2,26,4,53,18,0,1,0,0,1,1,10,11,1,2,13/12/2019,5,-,-,-,-,1,1,0,0,0,0,0
11-B,3,11,B,15/11/2019,2,18/02/2020,14,03/03/2020,1,5,17,3.4,74,0,0,0,0,93,0,0,1,11,119,5,17,0,0,1,11,4,0,0,1,0,1,0,1,10,1,1,13/12/2019,5,-,-,-,-,1,1,0,0,0,0,0
11-C,3,11,C,13/12/2019,5,18/02/2020,14,03/03/2020,2,3,46,15.3,63,1,19,0,0,83,2,27,2,8,119,0,0,5,17,7,25,8,1,1,0,0,1,1,110,11,2,2,15/11/2019,2,-,-,-,-,1,1,0,0,0,0,0
